numconnections_avg,policystatus_avg,policystatus_max,activityflag_max,businessunit,facility,healthtime,latitude,longitude
35.01,1.09,2,5,region-7,branch133,2012-02-02 15:15:00,-0.0105513,-75.705475
35.75757575757576,1.0808080808080809,2,5,region-38,branch17,2012-02-02 15:15:00,-0.01573587,-88.49835
14.219178082191782,1.1095890410958904,2,2,region-34,branch17,2012-02-02 15:15:00,-0.01761969,-150.9346
33.70103092783505,1.092783505154639,3,3,region-38,branch19,2012-02-02 15:15:00,-0.07934581,-90.04849
36.885416666666664,1.1458333333333333,3,5,region-30,branch20,2012-02-02 15:15:00,-0.0809674,-97.26061
17.175,1.175,3,1,region-34,branch44,2012-02-02 15:15:00,-0.08550033,-150.82085
35.90816326530612,1.0918367346938775,2,5,region-30,branch27,2012-02-02 15:15:00,-0.09190982,-98.19989
33.604166666666664,1.1145833333333333,2,3,region-7,branch36,2012-02-02 15:15:00,-0.12656759,-76.67222
34.46808510638298,1.1382978723404256,2,5,region-30,branch39,2012-02-02 15:15:00,-0.12690535,-98.78048
32.83505154639175,1.1030927835051547,3,5,region-7,branch31,2012-02-02 15:15:00,-0.13202973,-73.12797
33.92857142857143,1.0408163265306123,2,5,region-30,branch4,2012-02-02 15:15:00,-0.1417535,-97.491325
35.039603960396036,1.108910891089109,2,5,region-8,branch41,2012-02-02 15:15:00,-0.14785725,-122.86001
35.63265306122449,1.1020408163265305,2,3,region-8,branch50,2012-02-02 15:15:00,-0.16285117,-120.65348
34.24742268041237,1.092783505154639,3,5,region-7,branch2,2012-02-02 15:15:00,-0.17020155,-72.023476
35.48453608247423,1.1134020618556701,3,5,region-3,branch84,2012-02-02 15:15:00,-0.17091104,-113.38386
38.49484536082474,1.1443298969072164,2,5,region-38,branch12,2012-02-02 15:15:00,-0.17837262,-87.48193
31.414141414141415,1.1111111111111112,2,5,region-38,branch3,2012-02-02 15:15:00,-0.17865051,-90.20055
33.78787878787879,1.1414141414141414,2,5,region-7,branch105,2012-02-02 15:15:00,-0.189315,-71.05607
33.76237623762376,1.0891089108910892,2,5,region-7,branch172,2012-02-02 15:15:00,-0.2198283,-74.323135
35.673469387755105,1.1224489795918366,2,5,region-7,branch119,2012-02-02 15:15:00,-0.22560295,-74.54226
38.722772277227726,1.099009900990099,3,3,region-8,branch140,2012-02-02 15:15:00,-0.22916475,-120.20289
33.31958762886598,1.1649484536082475,3,5,region-7,branch33,2012-02-02 15:15:00,-0.23208515,-74.02081
35.04,1.13,2,5,region-7,branch34,2012-02-02 15:15:00,-0.23506746,-66.320885
17.903225806451612,1.0595533498759304,2,1,region-49,headquarters,2012-02-02 15:15:00,-0.24566217,-136.0792
36.885416666666664,1.15625,3,5,region-7,branch41,2012-02-02 15:15:00,-0.25458306,-77.92354
34.633663366336634,1.1386138613861385,2,5,region-3,branch125,2012-02-02 15:15:00,-0.25828454,-112.83267
35.4,1.13,3,5,region-7,branch198,2012-02-02 15:15:00,-0.26231542,-70.04862
35.144329896907216,1.092783505154639,2,5,region-7,branch85,2012-02-02 15:15:00,-0.28396702,-66.32769
36.052083333333336,1.0833333333333333,2,5,region-49,branch15,2012-02-02 15:15:00,-0.3161695,-134.06
16.05,1.0875,2,1,region-49,branch25,2012-02-02 15:15:00,-0.31800413,-139.53722
39.851485148514854,1.0693069306930694,3,4,region-7,branch187,2012-02-02 15:15:00,-0.32160717,-70.20712
38.77777777777778,1.1111111111111112,2,3,region-7,branch67,2012-02-02 15:15:00,-0.35795873,-74.428825
33.9375,1.0625,2,3,region-30,branch28,2012-02-02 15:15:00,-0.36512673,-100.64334
36.63917525773196,1.1546391752577319,3,5,region-8,branch95,2012-02-02 15:15:00,-0.38562214,-117.542534
37.25773195876289,1.1237113402061856,2,5,region-7,branch103,2012-02-02 15:15:00,-0.4012441,-70.700226
34.5959595959596,1.1313131313131313,2,4,region-3,branch132,2012-02-02 15:15:00,-0.46244356,-104.630775
32.88,1.16,3,4,region-7,branch126,2012-02-02 15:15:00,-0.4701434,-78.015205
34.422680412371136,1.1958762886597938,3,5,region-7,branch134,2012-02-02 15:15:00,-0.4758231,-72.54735
34.2680412371134,1.1030927835051547,2,5,region-30,branch43,2012-02-02 15:15:00,-0.49747103,-100.46174
35.103092783505154,1.1134020618556701,3,5,region-8,branch5,2012-02-02 15:15:00,-0.5025438,-121.69267
36.7,1.15,2,5,region-8,branch123,2012-02-02 15:15:00,-0.52038753,-127.402016
34.97872340425532,1.0957446808510638,2,5,region-7,branch124,2012-02-02 15:15:00,-0.52543896,-73.21935
15.32,1.0933333333333333,3,1,region-34,branch26,2012-02-02 15:15:00,-0.5500895,-149.96669
35.03061224489796,1.0816326530612246,2,3,region-30,branch1,2012-02-02 15:15:00,-0.55741405,-100.95502
37.0,1.0792079207920793,3,4,region-49,branch16,2012-02-02 15:15:00,-0.57566255,-132.439
36.16,1.12,2,5,region-49,branch30,2012-02-02 15:15:00,-0.6139019,-132.42099
34.649484536082475,1.0721649484536082,2,5,region-7,branch62,2012-02-02 15:15:00,-0.68789345,-70.93918
31.556701030927837,1.134020618556701,2,5,region-7,branch199,2012-02-02 15:15:00,-0.6990458,-69.60877
34.11,1.1,2,5,region-7,branch170,2012-02-02 15:15:00,-0.70896614,-66.85594
35.052083333333336,1.125,3,5,region-7,branch79,2012-02-02 15:15:00,-0.7157165,-73.40418
33.724489795918366,1.153061224489796,3,3,region-30,branch8,2012-02-02 15:15:00,-0.73010296,-99.462074
36.58,1.11,2,4,region-3,branch47,2012-02-02 15:15:00,-0.74557513,-110.66943
16.41891891891892,1.135135135135135,3,1,region-34,branch42,2012-02-02 15:15:00,-0.75803286,-150.1591
37.343434343434346,1.1111111111111112,2,3,region-7,branch166,2012-02-02 15:15:00,-0.7860539,-70.04175
16.746987951807228,1.0843373493975903,2,1,region-34,branch33,2012-02-02 15:15:00,-0.79153305,-150.28049
35.03030303030303,1.1313131313131313,2,5,region-7,branch75,2012-02-02 15:15:00,-0.8064681,-68.322975
34.95959595959596,1.1717171717171717,3,5,region-7,branch155,2012-02-02 15:15:00,-0.809066,-69.00529
31.20618556701031,1.0618556701030928,2,5,region-30,branch47,2012-02-02 15:15:00,-0.80932534,-98.80812
13.349397590361447,1.1204819277108433,3,1,region-34,branch49,2012-02-02 15:15:00,-0.819166,-151.37967
38.90721649484536,1.092783505154639,3,5,region-3,branch173,2012-02-02 15:15:00,-0.8256797,-114.570786
35.5,1.0729166666666667,2,5,region-8,branch180,2012-02-02 15:15:00,-0.84082174,-123.251724
34.94949494949495,1.1414141414141414,3,3,region-30,branch30,2012-02-02 15:15:00,-0.8495673,-97.854645
36.05154639175258,1.1443298969072164,4,3,region-7,branch4,2012-02-02 15:15:00,-0.86778617,-76.74716
32.96938775510204,1.0918367346938775,2,5,region-7,branch136,2012-02-02 15:15:00,-0.87100893,-69.89105
36.34,1.14,2,5,region-8,branch148,2012-02-02 15:15:00,-0.884544,-118.94169
37.39393939393939,1.1515151515151516,2,5,region-49,branch14,2012-02-02 15:15:00,-0.8942651,-133.16776
36.32,1.1,2,3,region-7,branch3,2012-02-02 15:15:00,-0.89620745,-73.72748
