numconnections_avg,policystatus_avg,policystatus_max,activityflag_max,businessunit,facility,healthtime,latitude,longitude
39.2,1.06,2,4,region-7,branch133,2012-02-02 14:15:00,-0.0105513,-75.705475
35.111111111111114,1.0808080808080809,2,3,region-38,branch17,2012-02-02 14:15:00,-0.01573587,-88.49835
16.095890410958905,1.1095890410958904,2,1,region-34,branch17,2012-02-02 14:15:00,-0.01761969,-150.9346
36.670103092783506,1.0824742268041236,2,4,region-38,branch19,2012-02-02 14:15:00,-0.07934581,-90.04849
34.177083333333336,1.1354166666666667,3,5,region-30,branch20,2012-02-02 14:15:00,-0.0809674,-97.26061
15.625,1.15,3,1,region-34,branch44,2012-02-02 14:15:00,-0.08550033,-150.82085
37.46938775510204,1.0816326530612246,2,5,region-30,branch27,2012-02-02 14:15:00,-0.09190982,-98.19989
34.578947368421055,1.0947368421052632,2,5,region-7,branch36,2012-02-02 14:15:00,-0.12656759,-76.67222
39.33684210526316,1.1263157894736842,2,5,region-30,branch39,2012-02-02 14:15:00,-0.12690535,-98.78048
35.422680412371136,1.0618556701030928,2,3,region-7,branch31,2012-02-02 14:15:00,-0.13202973,-73.12797
38.01020408163265,1.030612244897959,2,5,region-30,branch4,2012-02-02 14:15:00,-0.1417535,-97.491325
15.69047619047619,1.0952380952380953,2,1,region-8,branch41,2012-02-02 14:15:00,-0.14785725,-122.86001
15.69620253164557,1.0632911392405062,2,1,region-8,branch50,2012-02-02 14:15:00,-0.16285117,-120.65348
31.8659793814433,1.0721649484536082,2,4,region-7,branch2,2012-02-02 14:15:00,-0.17020155,-72.023476
37.90816326530612,1.1020408163265305,3,3,region-3,branch84,2012-02-02 14:15:00,-0.17091104,-113.38386
35.41836734693877,1.1224489795918366,2,5,region-38,branch12,2012-02-02 14:15:00,-0.17837262,-87.48193
33.58585858585859,1.0808080808080809,2,5,region-38,branch3,2012-02-02 14:15:00,-0.17865051,-90.20055
35.15151515151515,1.121212121212121,2,4,region-7,branch105,2012-02-02 14:15:00,-0.189315,-71.05607
35.43564356435643,1.0891089108910892,2,5,region-7,branch172,2012-02-02 14:15:00,-0.2198283,-74.323135
38.888888888888886,1.101010101010101,2,5,region-7,branch119,2012-02-02 14:15:00,-0.22560295,-74.54226
14.975903614457831,1.0963855421686748,3,1,region-8,branch140,2012-02-02 14:15:00,-0.22916475,-120.20289
36.90721649484536,1.1649484536082475,3,5,region-7,branch33,2012-02-02 14:15:00,-0.23208515,-74.02081
39.57,1.11,2,3,region-7,branch34,2012-02-02 14:15:00,-0.23506746,-66.320885
19.103703703703705,1.0518518518518518,2,1,region-49,headquarters,2012-02-02 14:15:00,-0.24566217,-136.0792
33.50515463917526,1.1443298969072164,3,5,region-7,branch41,2012-02-02 14:15:00,-0.25458306,-77.92354
34.0,1.118811881188119,2,5,region-3,branch125,2012-02-02 14:15:00,-0.25828454,-112.83267
30.57,1.12,3,5,region-7,branch198,2012-02-02 14:15:00,-0.26231542,-70.04862
33.391752577319586,1.0618556701030928,2,3,region-7,branch85,2012-02-02 14:15:00,-0.28396702,-66.32769
16.589041095890412,1.0684931506849316,2,1,region-49,branch15,2012-02-02 14:15:00,-0.3161695,-134.06
14.679012345679013,1.0864197530864197,2,1,region-49,branch25,2012-02-02 14:15:00,-0.31800413,-139.53722
38.09,1.05,2,5,region-7,branch187,2012-02-02 14:15:00,-0.32160717,-70.20712
34.24242424242424,1.0909090909090908,2,5,region-7,branch67,2012-02-02 14:15:00,-0.35795873,-74.428825
34.51546391752577,1.0618556701030928,2,5,region-30,branch28,2012-02-02 14:15:00,-0.36512673,-100.64334
34.06185567010309,1.134020618556701,3,3,region-8,branch95,2012-02-02 14:15:00,-0.38562214,-117.542534
35.92783505154639,1.1237113402061856,2,5,region-7,branch103,2012-02-02 14:15:00,-0.4012441,-70.700226
36.98989898989899,1.1111111111111112,2,5,region-3,branch132,2012-02-02 14:15:00,-0.46244356,-104.630775
36.1,1.14,3,5,region-7,branch126,2012-02-02 14:15:00,-0.4701434,-78.015205
33.11224489795919,1.1734693877551021,3,5,region-7,branch134,2012-02-02 14:15:00,-0.4758231,-72.54735
34.375,1.1041666666666667,2,5,region-30,branch43,2012-02-02 14:15:00,-0.49747103,-100.46174
14.527027027027026,1.0945945945945945,3,2,region-8,branch5,2012-02-02 14:15:00,-0.5025438,-121.69267
17.65277777777778,1.1527777777777777,2,1,region-8,branch123,2012-02-02 14:15:00,-0.52038753,-127.402016
35.49473684210526,1.0736842105263158,2,5,region-7,branch124,2012-02-02 14:15:00,-0.52543896,-73.21935
14.08,1.08,3,1,region-34,branch26,2012-02-02 14:15:00,-0.5500895,-149.96669
38.06122448979592,1.0816326530612246,2,5,region-30,branch1,2012-02-02 14:15:00,-0.55741405,-100.95502
13.768292682926829,1.0853658536585367,3,2,region-49,branch16,2012-02-02 14:15:00,-0.57566255,-132.439
17.58974358974359,1.1282051282051282,2,1,region-49,branch30,2012-02-02 14:15:00,-0.6139019,-132.42099
40.22680412371134,1.0515463917525774,2,1,region-7,branch62,2012-02-02 14:15:00,-0.68789345,-70.93918
35.515151515151516,1.1111111111111112,2,4,region-7,branch199,2012-02-02 14:15:00,-0.6990458,-69.60877
33.64,1.08,2,3,region-7,branch170,2012-02-02 14:15:00,-0.70896614,-66.85594
32.427083333333336,1.09375,2,5,region-7,branch79,2012-02-02 14:15:00,-0.7157165,-73.40418
35.61224489795919,1.1428571428571428,3,3,region-30,branch8,2012-02-02 14:15:00,-0.73010296,-99.462074
34.64,1.1,2,5,region-3,branch47,2012-02-02 14:15:00,-0.74557513,-110.66943
13.405405405405405,1.1081081081081081,2,1,region-34,branch42,2012-02-02 14:15:00,-0.75803286,-150.1591
38.717171717171716,1.0808080808080809,2,3,region-7,branch166,2012-02-02 14:15:00,-0.7860539,-70.04175
15.857142857142858,1.0595238095238095,2,1,region-34,branch33,2012-02-02 14:15:00,-0.79153305,-150.28049
33.0,1.11,2,3,region-7,branch75,2012-02-02 14:15:00,-0.8064681,-68.322975
39.686868686868685,1.121212121212121,3,3,region-7,branch155,2012-02-02 14:15:00,-0.809066,-69.00529
34.670103092783506,1.041237113402062,2,5,region-30,branch47,2012-02-02 14:15:00,-0.80932534,-98.80812
12.109756097560975,1.1097560975609757,3,1,region-34,branch49,2012-02-02 14:15:00,-0.819166,-151.37967
34.8041237113402,1.0721649484536082,2,5,region-3,branch173,2012-02-02 14:15:00,-0.8256797,-114.570786
13.703703703703704,1.0617283950617284,2,1,region-8,branch180,2012-02-02 14:15:00,-0.84082174,-123.251724
34.16161616161616,1.1313131313131313,2,5,region-30,branch30,2012-02-02 14:15:00,-0.8495673,-97.854645
37.329896907216494,1.134020618556701,4,5,region-7,branch4,2012-02-02 14:15:00,-0.86778617,-76.74716
33.47422680412371,1.0721649484536082,2,5,region-7,branch136,2012-02-02 14:15:00,-0.87100893,-69.89105
36.57,1.11,2,5,region-8,branch148,2012-02-02 14:15:00,-0.884544,-118.94169
13.25,1.130952380952381,2,1,region-49,branch14,2012-02-02 14:15:00,-0.8942651,-133.16776
35.16,1.09,2,3,region-7,branch3,2012-02-02 14:15:00,-0.89620745,-73.72748
34.878787878787875,1.101010101010101,2,3,region-30,branch6,2012-02-02 14:15:00,-0.9001197,-97.65355
32.61052631578947,1.105263157894737,2,5,region-7,branch148,2012-02-02 14:15:00,-0.9037966,-66.49352
35.845360824742265,1.1134020618556701,3,5,region-38,branch6,2012-02-02 14:15:00,-0.9102971,-80.46815
36.333333333333336,1.1616161616161615,3,3,region-3,branch98,2012-02-02 14:15:00,-0.9107681,-104.847725
15.317073170731707,1.1097560975609757,2,1,region-49,branch36,2012-02-02 14:15:00,-0.91273093,-138.14142
35.313131313131315,1.0404040404040404,2,5,region-7,branch25,2012-02-02 14:15:00,-0.91615224,-73.073326
36.96907216494845,1.134020618556701,3,5,region-7,branch7,2012-02-02 14:15:00,-0.916931,-73.65567
