num_ips,healthtime,longitude,latitude,machinefunction,policystatus
1,2012-02-03 04:30:00,-157.69624,9.970395,office,5
1,2012-02-03 04:30:00,-153.26303,24.063335,web,5
1,2012-02-03 04:30:00,-153.12274,31.42288,office,5
4,2012-02-03 04:30:00,-148.8732,25.331583,multiple,5
2,2012-02-03 04:30:00,-148.8732,25.331583,file server,5
2,2012-02-03 04:30:00,-148.8732,25.331583,web,5
1,2012-02-03 04:30:00,-147.48132,27.98037,office,5
3,2012-02-03 04:30:00,-144.79274,36.03496,multiple,5
8,2012-02-03 04:30:00,-144.79274,36.03496,compute,5
5,2012-02-03 04:30:00,-144.79274,36.03496,file server,5
1,2012-02-03 04:30:00,-142.06668,37.238605,multiple,5
1,2012-02-03 04:30:00,-140.20251,53.125618,atm,5
1,2012-02-03 04:30:00,-139.5853,39.836952,file server,5
1,2012-02-03 04:30:00,-139.54286,39.71374,office,5
3,2012-02-03 04:30:00,-137.75,41.201653,multiple,5
2,2012-02-03 04:30:00,-137.75,41.201653,file server,5
3,2012-02-03 04:30:00,-137.75,41.201653,web,5
1,2012-02-03 04:30:00,-137.75,41.201653,office,5
1,2012-02-03 04:30:00,-137.69528,37.443443,web,5
1,2012-02-03 04:30:00,-134.44516,51.326168,loan,5
1,2012-02-03 04:30:00,-133.56496,5.37282,loan,5
1,2012-02-03 04:30:00,-132.81819,-14.632779,web,5
1,2012-02-03 04:30:00,-132.3398,-5.049313,teller,5
1,2012-02-03 04:30:00,-132.32118,5.801075,atm,5
1,2012-02-03 04:30:00,-132.20848,26.379894,office,5
1,2012-02-03 04:30:00,-132.15572,4.4721417,teller,5
1,2012-02-03 04:30:00,-131.64207,39.49432,office,5
1,2012-02-03 04:30:00,-131.61226,13.408303,atm,5
1,2012-02-03 04:30:00,-127.95576,-5.8543453,teller,5
1,2012-02-03 04:30:00,-126.11349,43.74718,atm,5
1,2012-02-03 04:30:00,-124.72819,9.897648,loan,5
1,2012-02-03 04:30:00,-124.61338,16.873222,file server,5
4,2012-02-03 04:30:00,-123.36988,-6.6936483,multiple,5
2,2012-02-03 04:30:00,-123.36988,-6.6936483,file server,5
2,2012-02-03 04:30:00,-123.36988,-6.6936483,web,5
