num_ips,healthtime,longitude,latitude,machinefunction,policystatus
1,2012-02-03 00:30:00,-153.12274,31.42288,office,5
3,2012-02-03 00:30:00,-148.8732,25.331583,multiple,5
1,2012-02-03 00:30:00,-148.8732,25.331583,file server,5
1,2012-02-03 00:30:00,-148.8732,25.331583,web,5
1,2012-02-03 00:30:00,-144.79274,36.03496,multiple,5
6,2012-02-03 00:30:00,-144.79274,36.03496,compute,5
1,2012-02-03 00:30:00,-142.06668,37.238605,multiple,5
1,2012-02-03 00:30:00,-140.20251,53.125618,atm,5
2,2012-02-03 00:30:00,-137.75,41.201653,multiple,5
1,2012-02-03 00:30:00,-137.75,41.201653,file server,5
2,2012-02-03 00:30:00,-137.75,41.201653,web,5
1,2012-02-03 00:30:00,-137.62488,13.299477,office,5
1,2012-02-03 00:30:00,-132.60883,44.030125,office,5
1,2012-02-03 00:30:00,-132.3398,-5.049313,teller,5
1,2012-02-03 00:30:00,-132.15572,4.4721417,teller,5
1,2012-02-03 00:30:00,-131.64207,39.49432,office,5
1,2012-02-03 00:30:00,-127.95576,-5.8543453,teller,5
2,2012-02-03 00:30:00,-123.36988,-6.6936483,multiple,5
1,2012-02-03 00:30:00,-122.5633,-14.542416,multiple,5
2,2012-02-03 00:30:00,-122.5633,-14.542416,compute,5
3,2012-02-03 00:30:00,-122.5633,-14.542416,file server,5
1,2012-02-03 00:30:00,-122.5633,-14.542416,web,5
1,2012-02-03 00:30:00,-117.09456,-11.340638,loan,5
1,2012-02-03 00:30:00,-116.954506,48.919888,loan,5
1,2012-02-03 00:30:00,-116.48674,6.6931543,multiple,5
1,2012-02-03 00:30:00,-115.810844,62.009716,office,5
1,2012-02-03 00:30:00,-115.47634,14.192719,office,5
1,2012-02-03 00:30:00,-115.315384,14.449325,atm,5
1,2012-02-03 00:30:00,-113.02294,32.78322,multiple,5
1,2012-02-03 00:30:00,-113.02294,32.78322,file server,5
2,2012-02-03 00:30:00,-113.02294,32.78322,web,5
1,2012-02-03 00:30:00,-112.46435,-16.519533,atm,5
1,2012-02-03 00:30:00,-112.39805,10.946409,office,5
1,2012-02-03 00:30:00,-112.150055,11.443554,file server,5
1,2012-02-03 00:30:00,-111.52121,-2.3593233,multiple,5
1,2012-02-03 00:30:00,-111.52121,-2.3593233,file server,5
2,2012-02-03 00:30:00,-111.52121,-2.3593233,web,5
1,2012-02-03 00:30:00,-111.52121,-2.3593233,office,5
1,2012-02-03 00:30:00,-103.443985,21.697624,loan,5
1,2012-02-03 00:30:00,-102.08683,38.135,file server,5
1,2012-02-03 00:30:00,-102.08099,21.984745,office,5
1,2012-02-03 00:30:00,-101.729004,15.138123,multiple,5
6,2012-02-03 00:30:00,-101.19883,31.065144,compute,5
3,2012-02-03 00:30:00,-101.19883,31.065144,file server,5
4,2012-02-03 00:30:00,-100.557335,66.6357,compute,5
3,2012-02-03 00:30:00,-100.557335,66.6357,file server,5
1,2012-02-03 00:30:00,-100.557335,66.6357,email,5
1,2012-02-03 00:30:00,-99.496765,-1.8827386,web,5
1,2012-02-03 00:30:00,-95.62066,21.382742,file server,5
1,2012-02-03 00:30:00,-95.27131,29.40438,teller,5
1,2012-02-03 00:30:00,-92.90358,63.082798,multiple,5
1,2012-02-03 00:30:00,-91.069885,17.690266,office,5
1,2012-02-03 00:30:00,-87.91626,41.015537,loan,5
1,2012-02-03 00:30:00,-87.42259,33.392067,multiple,5
1,2012-02-03 00:30:00,-84.22911,26.380907,atm,5
1,2012-02-03 00:30:00,-83.7418,20.306341,loan,5
1,2012-02-03 00:30:00,-83.656105,-10.636432,atm,5
1,2012-02-03 00:30:00,-83.61055,53.06516,loan,5
1,2012-02-03 00:30:00,-80.2927,16.648775,office,5
1,2012-02-03 00:30:00,-79.395386,24.160805,multiple,5
1,2012-02-03 00:30:00,-79.395386,24.160805,web,5
1,2012-02-03 00:30:00,-72.58852,5.651786,multiple,5
1,2012-02-03 00:30:00,-70.41286,0.95105463,multiple,5
4,2012-02-03 00:30:00,-70.41286,0.95105463,compute,5
1,2012-02-03 00:30:00,-70.41286,0.95105463,file server,5
1,2012-02-03 00:30:00,-70.259796,0.8173708,office,5
1,2012-02-03 00:30:00,-68.91115,30.593117,web,5
1,2012-02-03 00:30:00,-68.28776,25.881872,office,5
1,2012-02-03 00:30:00,-65.23157,8.4952345,office,5
1,2012-02-03 00:30:00,-63.94605,48.423065,atm,5
1,2012-02-03 00:30:00,-61.232533,31.44596,file server,5
1,2012-02-03 00:30:00,-57.392933,23.375921,teller,5
1,2012-02-03 00:30:00,-56.396664,34.309483,atm,5
1,2012-02-03 00:30:00,-54.213535,47.954784,web,5
1,2012-02-03 00:30:00,-53.726196,45.483593,email,5
1,2012-02-03 00:30:00,-51.40315,31.981272,file server,5
